ANNOSCOLASTICO;CODICESCUOLA;CODICEEDIFICIO;codicescuola;DENOMINAZIONEISTITUTORIFERIMENTO;DENOMINAZIONESCUOLA;INDIRIZZOSCUOLA;CAPSCUOLA;SCUOLABUS;TRASPORTIPUBBLICIURBANI;TRASPORTIPUBBLICIINTERURBANI;TRASPORTIFERROVIARI;MEZZIPRIVATI;TRASPORTODISABILI;PISTACICLABILE;ALTRO
202021;MIEE30100X;151460999;MIEE30100X;CONVITTO NAZ.LE LONGONE/ MILANO;CONVITTO NAZ.LE LONGONE/ MILANO;VIA DEGLI OLIVETANI9;20123;NO;NO;NO;NO;NO;NO;NON DEFINITO;-
202021;MISL01000C;151461576;MISL01000C;LICEO ARTISTICO STATALE DI BRERA;LICEO ARTISTICO STATALE DI BRERA;VIA HAJECH 27;20129;NO;SI;SI;SI;SI;NO;NON DEFINITO;-
202021;MIEE8DU028;151461010;MIEE8DU028;IC R.PEZZANI/MILANO;VIA PUGLIE;VIALE PUGLIE 4;20139;SI;SI;SI;SI;SI;SI;SI;-
202021;MITD026012;151461579;MITD026012;CREMONA;"ITE ""G.ZAPPA""-SEZ. ASS. I.I.S. CREMONA";VIALE MARCHE 71;20159;NO;SI;NO;NO;SI;NO;NO;-
202021;MIIC8FZ00D;151460396;MIIC8FZ00D;I.C.S. UMBERTO ECO;I.C.S. UMBERTO ECO;PIAZZA SICILIA 2;20146;NO;SI;NO;NO;SI;SI;NON DEFINITO;-
202021;MIEE8D101Q;151460361;MIEE8D101Q;IC RINNOVATA PIZZIGONI/MILANO;RINNOVATA PIZZIGONI-MILANO;VIA C.DA CASTELLO 10;20155;NO;NO;NO;NO;NO;NO;NON DEFINITO;-
202021;MIIC8FY00N;151460400;MIIC8FY00N;"I.C . ""NAZARIO SAURO""";"I.C . ""NAZARIO SAURO""";VIA VESPRI SICILIANI 75;20146;NO;SI;NO;NO;SI;SI;NON DEFINITO;-
202021;MIMM8CR017;151460358;MIMM8CR017;IC SORELLE AGAZZI/ MILANO;GANDHI - RODARI;P.ZZA GASPARRI 6 - VIA GABBRO 6/A;20161;NO;SI;NO;NO;SI;NO;NON DEFINITO;-
202021;MITD05701N;151461583;MITD05701N;NICOLA MORESCHI;NICOLA MORESCHI;VIALE SAN MICHELE DEL CARSO 25;20144;NO;SI;NO;NO;SI;NO;NON DEFINITO;-
202021;MIEE8DU028;151461082;MIEE8DU028;IC R.PEZZANI/MILANO;VIA PUGLIE;VIALE PUGLIE 4;20139;NO;SI;NO;NO;NO;NO;NON DEFINITO;-
202021;MIEE8D001X;151461014;MIEE8D001X;IC IQBAL MASIH/MILANO;VIA VITERBO - MILANO;VIA VITERBO 31;20152;NO;NO;NO;NO;NO;NO;NON DEFINITO;-
202021;MIPS05801N;151461497;MIPS05801N;PAOLO FRISI;PAOLO FRISI;VIA CARLO AMORETTI 63;20157;NO;SI;SI;SI;SI;SI;NO;-
202021;MIAA8AN012;151460414;MIAA8AN012;IC M.TERESA DI CALCUTTA/MILANO;"SCUOLA DELL'INFANZIA ""S. GIOVAN";VIA SORDELLO 7;20138;SI;SI;NO;NO;SI;SI;NON DEFINITO;-
202021;MICT719009;151462636;MICT719009;CPIA 5 MILANO;"C.T.P. C/O IST. COMPR.""CAVALIERI"" MILANO";VIA ANCO MARZIO 9;20123;NO;SI;SI;NO;SI;SI;NON DEFINITO;-
202021;MITD08101E;151461587;MITD08101E;"""P. VERRI""";"""P. VERRI""";VIA LATTANZIO 38;20137;NO;SI;NO;NO;SI;NO;NON DEFINITO;-
202021;MIPS058502;151460101;MIPS058502;PAOLO FRISI;"""FRISI""";VIA OTRANTO 1;20157;NO;SI;NO;NO;SI;SI;NO;-
202021;MIEE8D0021;151461015;MIEE8D0021;IC IQBAL MASIH/MILANO;VIA FORZE ARMATE 279;VIA FORZE ARMATE 279;20152;NO;NO;NO;NO;NO;NO;NON DEFINITO;-
202021;MIIC8CY00P;151460416;MIIC8CY00P;IC CAPPONI/MILANO;IC CAPPONI/MILANO;VIA PESTALOZZI 13;20143;NO;NO;NO;NO;NO;NO;NON DEFINITO;-
202021;MITD02201P;151461647;MITD02201P;SALVADOR ALLENDE;CUSTODI;VIA ULISSE DINI 7;20141;SI;SI;SI;NO;NO;NO;NO;-
202021;MIIC8FW002;151462658;MIIC8FW002;I.C. VIA ARCADIA - MILANO;I.C. VIA ARCADIA - MILANO;VIA DELL'ARCADIA 24;20142;SI;SI;NO;NO;SI;SI;NON DEFINITO;-
202021;MICT72000D;151463357;MICT72000D;CPIA 5 MILANO;"C.T.P. C/O IST. COMPR. ""HEINE"" MILANO";VIA HEINE 2;20141;NO;SI;NO;NO;NO;NO;NON DEFINITO;-
202021;MIEE8CZ02N;151462832;MIEE8CZ02N;IC NARCISI/MILANO;VIA PISA;VIA PISA 1;20147;NO;NO;NO;NO;NO;NO;NON DEFINITO;-
202021;MIIC8C1003;151463285;MIIC8C1003;IC G. BORSI/MILANO;IC G. BORSI/MILANO;VIA OJETTI 13;20151;NO;NO;NO;NO;NO;NO;NON DEFINITO;-
202021;MITD02301E;151463713;MITD02301E;IST.ISTR.SUP.G.CARDANO;I.T. COMM. E GEOM. DI VIA NATTA;VIA NATTA11;20151;NO;SI;NO;NO;SI;NO;NO;MM LAMPUGNANO
202021;MIIC8FX00T;151461096;MIIC8FX00T;I.C. VIA MOISE' LORIA;I.C. VIA MOISE' LORIA;VIA MOISE' LORIA 37;20144;NO;NO;NO;NO;NO;NO;NON DEFINITO;-
202021;MIEE8CZ03P;151462991;MIEE8CZ03P;IC NARCISI/MILANO;VIA ANEMONI;VIA ANEMONI 8;20147;NO;NO;NO;NO;NO;NO;NON DEFINITO;-
202021;MIEE8D4028;151462876;MIEE8D4028;I.C. VIA MANIAGO/MILANO;SCUOLA PRIMARIA B.MUNARI;VIA FELTRE 68/1;20134;SI;SI;SI;NO;SI;SI;NON DEFINITO;-
202021;MIIC8CW003;151463083;MIIC8CW003;IC Q.DI VONA-TITO SPERI/MILANO;IC Q.DI VONA-TITO SPERI/MILANO;VIA ANTONIO SACCHINI 34;20131;NO;SI;SI;NO;NO;NO;NON DEFINITO;-
202021;MITD02201P;151460111;MITD02201P;SALVADOR ALLENDE;CUSTODI;VIA ULISSE DINI 7;20141;NO;SI;NO;NO;NO;NO;NON DEFINITO;-
202021;MIMM8CH01V;151463426;MIMM8CH01V;IC CONFALONIERI/MILANO;R.GOVONE - PAVONI;VIA PEPE 40;20159;NO;NO;NO;NO;NO;NO;NON DEFINITO;-
202021;MICT71800D;151460417;MICT71800D;CPIA 5 MILANO;C.T.P. C/O I.C. VIA POLESINE MILANO;VIA POLESINE12;20139;NO;SI;NO;NO;NO;NO;NON DEFINITO;-
202021;MITF11000E;151462103;MITF11000E;ITT-LS MOLINARI;ITT-LS MOLINARI;VIA CRESCENZAGO 110;20132;NO;SI;SI;NO;SI;NO;NO;-
202021;MIRC102013;151461568;MIRC102013;DANIELE MARIGNONI - MARCO POLO;DANIELE MARIGNONI - MARCO POLO;VIA MELZI D'ERIL 9;20154;NO;SI;SI;NO;SI;NO;NON DEFINITO;-
202021;MICT71700N;151460434;MICT71700N;CPIA 5 MILANO;C.T.P. C/O I.C. VIALE MUGELLO 5 MI;VIALE MUGELLO 5;20137;NO;SI;SI;SI;SI;NO;NON DEFINITO;-
202021;MIIC8CX00V;151462825;MIIC8CX00V;IC FABIO FILZI/MILANO;IC FABIO FILZI/MILANO;VIA RAVENNA 15;20139;SI;SI;NO;NO;SI;SI;NON DEFINITO;-
202021;MIRC102013;151461503;MIRC102013;DANIELE MARIGNONI - MARCO POLO;DANIELE MARIGNONI - MARCO POLO;VIA MELZI D'ERIL 9;20154;NO;SI;NO;NO;SI;NO;NO;-
202021;MIEE8CZ01L;151462832;MIEE8CZ01L;IC NARCISI/MILANO;VIA DEI NARCISI - MILANO;VIA DEI NARCISI 2;20147;NO;NO;NO;NO;NO;NO;NON DEFINITO;-
202021;MITD02201P;151461464;MITD02201P;SALVADOR ALLENDE;CUSTODI;VIA ULISSE DINI 7;20141;NO;NO;NO;NO;SI;NO;NON DEFINITO;-
202021;MIIC8FV006;151463129;MIIC8FV006;I.C VIA PALMIERI - MILANO;I.C VIA PALMIERI - MILANO;VIA PALMIERI 24;20141;NO;SI;NO;NO;NO;NO;NON DEFINITO;-
202021;MIIC8CT00T;151460372;MIIC8CT00T;IC VITTORIO LOCCHI/MILANO;IC VITTORIO LOCCHI/MILANO;VIA PASSERINI4/8;20162;NO;NO;NO;NO;NO;NO;NON DEFINITO;-
202021;MITF11050X;151461600;MITF11050X;ITT-LS MOLINARI;MOLINARI;VIA CRESCENZAGO 110;20132;NO;SI;SI;NO;SI;NO;NO;-
202021;MIEE8CZ02N;151462003;MIEE8CZ02N;IC NARCISI/MILANO;VIA PISA;VIA PISA 1;20147;SI;NO;NO;NO;SI;SI;SI;-
202021;MICT714006;151460452;MICT714006;CPIA 5 MILANO;C.T.P. C/O IST. COMPR. VIA ZUARA7/9 MI;VIA ZUARA7/9;20146;SI;SI;SI;NO;SI;SI;NON DEFINITO;-
202021;MITD02201P;151460109;MITD02201P;SALVADOR ALLENDE;CUSTODI;VIA ULISSE DINI 7;20141;NO;SI;NO;NO;NO;NO;NON DEFINITO;-
202021;MIIC8CV007;151460446;MIIC8CV007;IC PAOLO E LARISSA PINI/MILANO;IC PAOLO E LARISSA PINI/MILANO;VIA STEFANARDO VIMERCATE14;20128;NO;SI;NO;NO;SI;SI;NON DEFINITO;-
202021;MITF10101R;151461647;MITF10101R;TORRICELLI;TORRICELLI;VIA U. DINI 7;20142;SI;SI;SI;NO;NO;NO;NO;-
202021;MIMM8C7013;151462979;MIMM8C7013;I.C. LUCIANO MANARA;BENEDETTO MARCELLO;VIA BENJAMIN CONSTANT 19;20153;NO;NO;NO;NO;NO;NO;NON DEFINITO;-
202021;MIMM8CF017;151465000;MIMM8CF017;IC C. CANTU'/MILANO;SABA;VIA DEL VOLGA 3;20161;NO;NO;NO;NO;NO;NO;NON DEFINITO;-
202021;MIEE8C7047;151461016;MIEE8C7047;I.C. LUCIANO MANARA;PRIMARIA EDUCAZIONE SPORT E MUSICA;VIA SAN GIUSTO 65;20153;NO;NO;NO;NO;NO;NO;NON DEFINITO;-
202021;MICT715002;151461017;MICT715002;CPIA 5 MILANO;C.T.P. C/O I.C. VIA CONSOLE MARCELLO MI;VIA CONSOLE MARCELLO 9;20156;SI;SI;SI;SI;SI;SI;NON DEFINITO;-
202021;MIIC8AN00D;151463422;MIIC8AN00D;IC M.TERESA DI CALCUTTA/MILANO;IC M.TERESA DI CALCUTTA/MILANO;VIA MONDOLFO 7;20138;NO;NO;NO;NO;NO;NO;NON DEFINITO;-
202021;MITD02201P;151460110;MITD02201P;SALVADOR ALLENDE;CUSTODI;VIA ULISSE DINI 7;20141;SI;SI;NO;NO;SI;SI;NON DEFINITO;-
202021;MIRC094019;151461494;MIRC094019;BERTARELLI - FERRARIS;I.I.S. BERTARELLI - FERRARIS;CORSO DI PORTA ROMANA 110;20122;NO;SI;NO;NO;SI;SI;NON DEFINITO;-
202021;MIMM8CH01V;151460371;MIMM8CH01V;IC CONFALONIERI/MILANO;R.GOVONE - PAVONI;VIA PEPE 40;20159;SI;NO;NO;NO;SI;NO;NON DEFINITO;-
202021;MITF11000E;151461600;MITF11000E;ITT-LS MOLINARI;ITT-LS MOLINARI;VIA CRESCENZAGO 110;20132;NO;SI;SI;NO;SI;NO;NO;-
202021;MIIC8CR006;151460358;MIIC8CR006;IC SORELLE AGAZZI/ MILANO;IC SORELLE AGAZZI/ MILANO;VIA GABBRO 6/A;20161;NO;SI;NO;NO;SI;NO;NON DEFINITO;-
202021;MIMM8CG013;151461116;MIMM8CG013;IC VIA SCIALOIA/MILANO;BUONARROTI;VIA SCIALOIA 21;20161;NO;SI;NO;NO;SI;NO;NON DEFINITO;-
202021;MICT71200E;151460371;MICT71200E;CPIA 5 MILANO;C.T.P. C/O S.M.S. PAVONI-GOVONE;VIA CRESPI 40;20158;SI;NO;NO;NO;SI;NO;NON DEFINITO;-
202021;MIEE8DS01G;151460378;MIEE8DS01G;IC PRIMO LEVI/MILANO;CARLO ZIMA E ANITA GARIBALDI;VIA ANSELMO DA BAGGIO 60;20153;NO;SI;NO;NO;SI;NO;NON DEFINITO;-
202021;MIIC823004;151461082;MIIC823004;I.C. MARCELLO CANDIA;I.C. MARCELLO CANDIA;VIA POLESINE12/14;20139;NO;SI;NO;NO;NO;NO;NON DEFINITO;-
202021;MIRC09451P;151461494;MIRC09451P;BERTARELLI - FERRARIS;I.I.S. BERTARELLI - FERRARIS;CORSO DI PORTA ROMANA110;20122;NO;SI;NO;NO;SI;SI;NON DEFINITO;-
202021;MIEE8CY02T;151460456;MIEE8CY02T;IC CAPPONI/MILANO;SCUOLA PRIMARIA DOMENICO MORO;VIA PESCARENICO 6;20142;NO;NO;NO;NO;NO;NO;NON DEFINITO;-
202021;MIIC8AF001;151461134;MIIC8AF001;IC TRILUSSA / MILANO;IC TRILUSSA / MILANO;VIA GRAF 74;20157;SI;SI;NO;NO;SI;SI;NON DEFINITO;-
202021;MIIC823004;151460418;MIIC823004;I.C. MARCELLO CANDIA;I.C. MARCELLO CANDIA;VIA POLESINE12/14;20139;NO;SI;NO;NO;SI;NO;NON DEFINITO;-
202021;MIIC8CS002;151461001;MIIC8CS002;IC DON ORIONE/MILANO;IC DON ORIONE/MILANO;VIA FABRIANO 4;20161;NO;SI;NO;NO;SI;SI;NON DEFINITO;-
202021;MICT71300A;151460442;MICT71300A;CPIA 5 MILANO;C.T.P. C/O I.C. VIA RUSSO 27 MI;VIA RUSSO 27;20127;NO;SI;NO;NO;NO;NO;NON DEFINITO;-
202021;MIMM8CD01G;151463124;MIMM8CD01G;IC P.THOUAR E L.GONZAGA/MILANO;TABACCHI;VIA TABACCHI 15 /A;20136;NO;NO;NO;NO;NO;NO;NON DEFINITO;-
202021;MIEE8DU017;151461009;MIEE8DU017;IC R.PEZZANI/MILANO;R.PEZZANI - MILANO;VIA MARTINENGO36;20139;SI;SI;NO;NO;SI;SI;NON DEFINITO;-
202021;MIIC82400X;151461090;MIIC82400X;IC G.GIUSTI E C.D'ASSISI/MILANO;IC G.GIUSTI E C.D'ASSISI/MILANO;VIA GIUSTI15;20154;NO;SI;NO;NO;SI;SI;NON DEFINITO;-
202021;MIEE8C6029;151460389;MIEE8C6029;"ICS ""ALDA MERINI""/MILANO";VIA PARETO - MILANO;VIA PARETO 26;20151;NO;NO;NO;NO;NO;NO;NON DEFINITO;-
202021;MIMM80901V;151463357;MIMM80901V;"IC ""E. MORANTE""/MILANO";MORANTE;VIA HEINE 2;20141;NO;SI;NO;NO;NO;NO;NON DEFINITO;-
202021;MIIC8AG00R;151461038;MIIC8AG00R;IC VIA VAL LAGARINA /MILANO;IC VIA VAL LAGARINA /MILANO;VIA VAL LAGARINA 44;20157;NO;SI;NO;SI;SI;SI;NON DEFINITO;-
202021;MITF10101R;151461629;MITF10101R;TORRICELLI;TORRICELLI;VIA U. DINI 7;20142;NO;SI;NO;NO;SI;NO;NON DEFINITO;-
202021;MIPS01000G;151461449;MIPS01000G;L.S. EINSTEIN;L.S. EINSTEIN;VIA EINSTEIN 3;20137;NO;SI;NO;NO;SI;NO;NON DEFINITO;-
202021;MIMM8CE01B;151461088;MIMM8CE01B;"IC ""G. PASCOLI""/MILANO";ACHILLE MAURI;VIA ANGELO MAURI 10;20144;NO;NO;SI;NO;NO;NO;NON DEFINITO;-
202021;MIIC8DQ00C;151461132;MIIC8DQ00C;I.C. LOCATELLI-QUASIMODO;I.C. LOCATELLI-QUASIMODO;VIA VEGLIA 80;20159;NO;SI;NO;NO;SI;NO;NON DEFINITO;-
202021;MIEE8C7025;151460379;MIEE8C7025;I.C. LUCIANO MANARA;C. POMA;VIA AIRAGHI 42;20153;NO;NO;NO;NO;NO;NO;NON DEFINITO;-
202021;MIEE8DQ02G;151460374;MIEE8DQ02G;I.C. LOCATELLI-QUASIMODO;LOCATELLI - MILANO;VIA VEGLIA 80;20159;NO;SI;SI;NO;SI;SI;NON DEFINITO;-
202021;MIEE8C7014;151461016;MIEE8C7014;I.C. LUCIANO MANARA;PRIMARIA LUCIANO MANARA;VIA LAMENNAIS20;20153;NO;NO;NO;NO;NO;NO;NON DEFINITO;-
202021;MIMM8AF012;151461134;MIMM8AF012;IC TRILUSSA / MILANO;I.C.STATALE TRILUSSA;VIA GRAF 74;20157;SI;SI;NO;NO;SI;SI;NON DEFINITO;-
202021;MIEE8DR01A;151461011;MIEE8DR01A;IC PASQUALE SOTTOCORNO/MILANO;P.SOTTOCORNO;VIA MONTE PIANA 11;20139;SI;SI;SI;SI;SI;SI;NON DEFINITO;-
202021;MIEE8C504G;151461037;MIEE8C504G;IC S.GIUSEPPE CALASANZIO/MILANO;PRO JUVENTUTE IST DON GNOCCHI;VIA GOZZADINI 7;20148;NO;NO;NO;NO;NO;NO;NON DEFINITO;-
202021;MIMM0CG003;151461100;MIMM0CG003;CPIA 5 MILANO;CPIA 5 MILANO;VIA PONTANO 43;20127;NO;NO;NO;NO;NO;NO;NON DEFINITO;-
202021;MIIC823004;151460417;MIIC823004;I.C. MARCELLO CANDIA;I.C. MARCELLO CANDIA;VIA POLESINE12/14;20139;NO;SI;NO;NO;NO;NO;NON DEFINITO;-
202021;MIMM8AG01T;151461130;MIMM8AG01T;IC VIA VAL LAGARINA /MILANO;VICO;VIA ORSINI FELICE 25;20157;NO;SI;NO;SI;SI;SI;NON DEFINITO;-
202021;MIMM8DA01P;151461048;MIMM8DA01P;LEONE TOLSTOJ;VIA ZUARA 7/MILANO;VIA ZUARA 7;20146;NO;NO;NO;NO;NO;NO;NON DEFINITO;-
202021;MIMM11300B;151462744;MIMM11300B;"SMS VIA VIVAIO ""PER CIECHI""";"SMS VIA VIVAIO ""PER CIECHI""";VIA VIVAIO 7;20122;NO;SI;NO;NO;SI;SI;NON DEFINITO;-
202021;MIMM8F201Q;151463349;MIMM8F201Q;I.C. VIA LINNEO/MILANO;VIA MOSCATI-MAMELI;VIA C.LINNEO 2;20145;NO;SI;NO;NO;SI;NO;NON DEFINITO;-
202021;MIEE8C6018;151463391;MIEE8C6018;"ICS ""ALDA MERINI""/MILANO";VIA MAGREGLIO;VIA MAGREGLIO 1;20151;NO;SI;NO;NO;SI;NO;NON DEFINITO;-
202021;MIIC81900C;151461118;MIIC81900C;IC I.CALVINO;IC I.CALVINO;VIA FRIGIA 4;20126;NO;SI;NO;NO;NO;NO;NON DEFINITO;-
202021;MIIS074005;151461947;MIIS074005;MARELLI;MARELLI;VIA LIVIGNO11;20158;NO;SI;NO;NO;SI;NO;NO;-
202021;MIEE8DQ01E;151460377;MIEE8DQ01E;I.C. LOCATELLI-QUASIMODO;G.RODARI;VIA BOTTELLI 3;20125;NO;NO;NO;NO;NO;NO;NON DEFINITO;-
202021;MIEE8B4012;151460440;MIEE8B4012;IC LUIGI GALVANI/MILANO;M.DI SAVOIA E C.BORROMEO;VIA FELICE CASATI 6;20123;NO;NO;NO;NO;NO;NO;NON DEFINITO;-
202021;MIIC8BD00X;151462667;MIIC8BD00X;MILANO SPIGA ROSSARICASTIGLIONI;MILANO SPIGA ROSSARICASTIGLIONI;VIA S. SPIRITO 21;20121;SI;SI;SI;SI;SI;SI;NON DEFINITO;-
202021;MIIS07700L;151461632;MIIS07700L;G. GALILEI - R. LUXEMBURG;G. GALILEI - R. LUXEMBURG;VIA PARAVIA 31;20148;NO;SI;NO;NO;SI;NO;NO;-
202021;MIIC82000L;151460467;MIIC82000L;IC BRUNO MUNARI/ MILANO;IC BRUNO MUNARI/ MILANO;VIA DEI SALICI 2;20152;NO;NO;NO;NO;NO;NO;NON DEFINITO;-
202021;MIIC8BD00X;151461053;MIIC8BD00X;MILANO SPIGA ROSSARICASTIGLIONI;MILANO SPIGA ROSSARICASTIGLIONI;VIA S. SPIRITO 21;20121;NO;NO;NO;NO;NO;NO;NON DEFINITO;-
202021;MIEE8B4023;151460366;MIEE8B4023;IC LUIGI GALVANI/MILANO;LUIGI GALVANI;VIA GALVANI 7;20124;NO;SI;SI;SI;SI;NO;NON DEFINITO;-
202021;MIPM11000D;151461443;MIPM11000D;CARLO TENCA;CARLO TENCA;BASTIONI PORTA VOLTA 16;20121;NO;SI;NO;NO;SI;NO;NON DEFINITO;-
202021;MIEE8CD01L;151460403;MIEE8CD01L;IC P.THOUAR E L.GONZAGA/MILANO;P.THOUAR E L.GONZAGA - MILANO;VIA BRUNACCI 2/4;20136;NO;NO;NO;NO;NO;NO;NON DEFINITO;-
202021;MIMM8F201Q;151461084;MIMM8F201Q;I.C. VIA LINNEO/MILANO;VIA MOSCATI-MAMELI;VIA C.LINNEO 2;20145;NO;NO;NO;NO;NO;NO;NON DEFINITO;-
202021;MIAA8CR013;151460001;MIAA8CR013;IC SORELLE AGAZZI/ MILANO;VIA CICCOTTI;VIA CICCOTTI 2;20161;NO;SI;NO;NO;SI;NO;NON DEFINITO;-
202021;MIIC8D4005;151463384;MIIC8D4005;I.C. VIA MANIAGO/MILANO;I.C. VIA MANIAGO/MILANO;VIA MANIAGO30;20134;SI;SI;NO;NO;SI;SI;NON DEFINITO;-
202021;MIIC8FT00E;151462677;MIIC8FT00E;I.C. P.ZA L.DA VINCI/MILANO;I.C. P.ZA L.DA VINCI/MILANO;PIAZZA LEONARDO DA VINCI 2;20133;SI;SI;SI;NO;SI;SI;NON DEFINITO;-
